timestamp,193_QS_Median,193_Area_CH_pix_G,193_Mean_I_CH_G,193_Median_I_CH_G,193_Min_I_CH_G,193_Mean_Darkest_25_G,"193_Area_CH_pix_2,1","193_Mean_I_CH_2,1","193_Median_I_CH_2,1","193_Min_I_CH_2,1","193_Mean_Darkest_25_2,1","193_Area_CH_pix_2,2","193_Mean_I_CH_2,2","193_Median_I_CH_2,2","193_Min_I_CH_2,2","193_Mean_Darkest_25_2,2","193_Area_CH_pix_2,3","193_Mean_I_CH_2,3","193_Median_I_CH_2,3","193_Min_I_CH_2,3","193_Mean_Darkest_25_2,3","193_Area_CH_pix_1,1","193_Mean_I_CH_1,1","193_Median_I_CH_1,1","193_Min_I_CH_1,1","193_Mean_Darkest_25_1,1","193_Area_CH_pix_1,2","193_Mean_I_CH_1,2","193_Median_I_CH_1,2","193_Min_I_CH_1,2","193_Mean_Darkest_25_1,2","193_Area_CH_pix_1,3","193_Mean_I_CH_1,3","193_Median_I_CH_1,3","193_Min_I_CH_1,3","193_Mean_Darkest_25_1,3",211_QS_Median,211_Area_CH_pix_G,211_Mean_I_CH_G,211_Median_I_CH_G,211_Min_I_CH_G,211_Mean_Darkest_25_G,"211_Area_CH_pix_2,1","211_Mean_I_CH_2,1","211_Median_I_CH_2,1","211_Min_I_CH_2,1","211_Mean_Darkest_25_2,1","211_Area_CH_pix_2,2","211_Mean_I_CH_2,2","211_Median_I_CH_2,2","211_Min_I_CH_2,2","211_Mean_Darkest_25_2,2","211_Area_CH_pix_2,3","211_Mean_I_CH_2,3","211_Median_I_CH_2,3","211_Min_I_CH_2,3","211_Mean_Darkest_25_2,3","211_Area_CH_pix_1,1","211_Mean_I_CH_1,1","211_Median_I_CH_1,1","211_Min_I_CH_1,1","211_Mean_Darkest_25_1,1","211_Area_CH_pix_1,2","211_Mean_I_CH_1,2","211_Median_I_CH_1,2","211_Min_I_CH_1,2","211_Mean_Darkest_25_1,2","211_Area_CH_pix_1,3","211_Mean_I_CH_1,3","211_Median_I_CH_1,3","211_Min_I_CH_1,3","211_Mean_Darkest_25_1,3"
2010-05-15 12:00:00,100.70244,10415.0,37.222286,32.176735,10.074079,18.015717,1419.0,30.012731552124023,26.845109939575195,13.857636451721191,17.131372451782227,5674.0,27.199108123779297,27.11043930053711,10.074078559875488,16.41062355041504,487.0,35.84186172485352,35.34738540649414,26.044818878173828,30.30535125732422,899.0,66.96171,63.612755,23.919891,38.22726,1198.0,50.074226,48.06675,22.164494,28.142572,701.0,71.96919,60.677666,35.47477,45.35402,23.18492,10415.0,10.69653,9.099542,2.9309113,5.6061506,1419.0,9.05982494354248,8.256136894226074,4.123709201812744,5.423906326293945,5674.0,7.892531871795654,7.661375999450684,2.9309113025665283,5.146152496337891,487.0,10.300850868225098,10.18655490875244,7.196371078491211,8.45541000366211,899.0,18.039913,16.80282,7.1362243,11.481554,1198.0,14.638688,13.536757,5.8497424,8.392433,701.0,20.242926,17.845993,11.57492,14.0101385
2010-05-15 18:00:00,99.38587,10857.0,36.00512,31.39045,9.725354,17.70055,1191.0,28.57720375061035,25.76400375366211,13.39199161529541,17.240877151489258,6188.0,26.50490951538086,25.98523330688477,9.725354194641112,15.993692398071287,526.0,40.36596298217773,39.59067535400391,31.104061126708984,34.20277786254883,975.0,59.918472,54.924683,26.092392,36.811974,1239.0,46.4233,42.09589,16.94589,23.383387,707.0,75.51882,65.96253,37.68041,46.81857,22.915377,10857.0,10.347714,8.921809,2.9065502,5.503251,1191.0,8.747832298278809,8.10901927947998,3.863714456558228,5.489399433135986,6188.0,7.765968322753906,7.646453857421875,2.906550168991089,5.013385772705078,526.0,11.435587882995604,11.127227783203123,8.266731262207031,9.447504043579102,975.0,16.113386,14.721036,8.18461,10.823528,1239.0,13.644159,12.121464,4.7197137,7.1708827,707.0,20.574612,18.441721,12.112783,14.2382965
2010-05-16 00:00:00,97.75922,10601.0,34.53555,29.629358,9.71222,16.848333,976.0,28.15914535522461,26.295860290527344,12.01919937133789,17.51327896118164,6441.0,25.738210678100582,25.4887752532959,9.712220191955566,15.260628700256348,220.0,45.15630722045898,44.62384033203125,33.823036193847656,38.86445236206055,1072.0,57.2996,53.62249,23.879478,32.722393,1258.0,45.085846,38.75033,16.697304,22.501339,599.0,70.51079,62.013756,36.613846,45.877144,22.580378,10601.0,10.067879,8.729417,2.8083832,5.3114777,976.0,8.614635467529297,8.299434661865234,3.379336357116699,5.520952224731445,6441.0,7.693183422088623,7.564608573913574,2.8083832263946533,4.839853763580322,220.0,12.566699028015137,12.549942016601562,8.7493257522583,10.536934852600098,1072.0,15.568824,14.291708,7.20834,9.979228,1258.0,13.4468355,11.518458,4.9450765,7.062863,599.0,19.435612,17.550623,11.184543,14.0499525
2010-05-16 06:00:00,98.336525,10751.0,35.90165,30.22082,9.839681,16.546953,799.0,31.84680557250977,31.39790916442871,14.458712577819824,21.8537654876709,6741.0,25.563608169555664,25.16506576538086,9.839680671691896,14.607105255126951,198.0,60.59303665161133,56.8047103881836,44.65936279296875,49.61012649536133,1094.0,58.955513,53.351547,22.570038,32.617207,1256.0,47.918232,42.354877,19.07429,24.826178,627.0,77.55247,64.368515,37.440655,46.334732,22.6525,10751.0,10.409206,8.88714,2.763894,5.270083,799.0,9.664225578308104,9.37165641784668,4.6500163078308105,6.974937915802002,6741.0,7.703052997589111,7.611576080322266,2.7638940811157227,4.703863143920898,198.0,16.404102325439453,16.058032989501953,11.575743675231934,13.463796615600586,1094.0,16.165052,14.770144,6.831046,10.076876,1256.0,13.774498,11.915909,5.635465,7.694325,627.0,21.048233,18.483112,10.829405,14.1589155
2010-05-16 12:00:00,96.7259,10936.0,34.52022,29.38468,9.344775,15.68799,566.0,33.01290512084961,33.24275588989258,17.817703247070312,23.625713348388672,7126.0,24.78514289855957,24.0398063659668,9.344775199890137,13.984421730041504,177.0,70.02600860595703,68.5151138305664,54.00645065307617,58.029441833496094,985.0,57.20924,48.242687,24.691845,31.774069,1460.0,47.49544,43.05081,18.542856,24.903904,589.0,70.95102,60.17461,31.969893,42.984837,22.59124,10935.0,10.0202875,8.580204,2.6901965,5.0226636,566.0,9.691839218139648,9.416818618774414,5.532303333282471,7.090335369110107,7125.0,7.423750877380371,7.367698669433594,2.6901965141296387,4.495558738708496,177.0,18.97079086303711,18.65715408325196,14.379657745361328,15.906145095825195,985.0,16.000463,14.136125,7.3823533,9.997911,1460.0,13.635403,12.168085,5.3321824,7.488078,589.0,19.476091,17.572605,9.156002,12.910446
2010-05-16 18:00:00,96.443306,11313.0,34.61494,29.625593,9.745485,15.56773,248.0,33.96255874633789,34.27136993408203,20.32513236999512,25.338024139404297,7700.0,25.184541702270508,24.444074630737305,9.745485305786133,14.0132417678833,141.0,90.7092056274414,87.67808532714844,61.49782180786133,68.6498794555664,959.0,56.82466,46.788383,23.247362,30.937141,1649.0,46.784775,42.725826,17.407457,24.61791,587.0,72.69039,61.279503,24.711945,41.18622,22.67364,11313.0,9.991064,8.525162,2.8916073,5.014537,248.0,10.014747619628906,9.888296127319336,6.309661865234375,7.727180004119873,7700.0,7.451740741729736,7.43585205078125,2.8916072845458984,4.531728267669678,141.0,23.9865665435791,23.55813217163086,16.405712127685547,18.16415405273437,959.0,15.723421,13.720612,7.179887,9.835893,1649.0,13.4807005,12.057165,5.2854185,7.443799,587.0,20.16973,17.947882,7.468734,12.297345
2010-05-17 00:00:00,95.970726,11275.0,34.16256,29.516428,9.4797,15.373171,102.0,34.28990936279297,34.644710540771484,24.8657341003418,27.188331604003903,7904.0,25.360254287719727,24.88870620727539,9.479700088500977,14.070085525512695,4.0,144.03636169433594,143.7493896484375,130.7494354248047,130.7494354248047,939.0,56.345,46.7527,23.090061,28.522223,1665.0,49.179604,42.441566,17.930496,25.14018,629.0,69.32545,60.06364,21.675491,38.939045,22.541353,11275.0,9.866925,8.435551,2.8564305,4.9545703,102.0,9.926202774047852,9.653593063354492,6.262861251831055,7.756980895996094,7904.0,7.462921619415283,7.408904075622559,2.856430530548096,4.555219650268555,4.0,38.435794830322266,37.34625244140625,35.08902359008789,35.08902359008789,939.0,15.595177,13.744534,6.9864297,9.096759,1665.0,14.046774,11.896284,4.9717083,7.562009,629.0,19.70484,18.07805,6.7747765,11.818148
2010-05-17 06:00:00,97.45344,10518.0,33.69026,28.919224,9.25813,15.3230095,3.0,39.17842102050781,40.31924819946289,36.55120086669922,36.55120086669922,7285.0,24.91167259216309,24.45846939086914,9.258130073547363,13.902137756347656,0.0,97.45344,97.45344,97.45344,97.45344,909.0,56.6475,51.020584,21.847075,28.957977,1591.0,46.891544,39.75538,19.887283,25.884918,699.0,63.804974,59.325363,20.585257,32.820652,23.105623,10519.0,9.761914,8.421904,2.665417,4.929038,3.0,9.038806915283203,9.064558029174805,8.748136520385742,8.748136520385742,7286.0,7.38372278213501,7.270927429199219,2.665416955947876,4.493961811065674,0.0,23.105623,23.105623,23.105623,23.105623,909.0,16.077965,14.492733,6.456574,9.5516615,1591.0,13.130207,11.440059,5.5850534,7.8179545,699.0,18.222393,17.597279,6.250631,9.8379965
2010-05-17 12:00:00,98.45647,10855.0,34.689285,30.096918,9.517082,15.726485,0.0,98.45647,98.45647,98.45647,98.45647,7222.0,25.37137794494629,25.021915435791016,9.517082214355469,14.06531810760498,0.0,98.45647,98.45647,98.45647,98.45647,873.0,55.81752,50.95781,22.669275,28.75805,1966.0,48.525234,42.737988,19.012905,25.88674,766.0,62.032097,56.436882,20.14814,29.421621,23.615498,10856.0,10.168845,8.787129,2.8563352,5.064247,0.0,23.615498,23.615498,23.615498,23.615498,7223.0,7.633247852325439,7.532800674438477,2.856335163116455,4.545797824859619,0.0,23.615498,23.615498,23.615498,23.615498,873.0,16.03522,14.321521,7.216546,9.4544,1966.0,13.826518,11.7749405,5.358847,7.8260736,766.0,17.697245,16.38514,5.931622,9.121015
2010-05-17 18:00:00,98.49585,10976.0,35.830505,30.878746,9.96281,16.198683,0.0,98.49585,98.49585,98.49585,98.49585,7335.0,26.307025909423828,25.978605270385746,9.962809562683104,14.523659706115724,0.0,98.49585,98.49585,98.49585,98.49585,822.0,57.78139,53.86071,23.000813,28.843113,1980.0,49.79445,43.66371,17.931705,26.383188,812.0,64.68964,58.36164,19.647652,30.043835,23.624146,10976.0,10.4392605,8.971348,2.9085176,5.20571,0.0,23.624146,23.624146,23.624146,23.624146,7335.0,7.8615217208862305,7.756659030914307,2.908517599105835,4.677018642425537,0.0,23.624146,23.624146,23.624146,23.624146,822.0,16.408943,15.150379,7.1247244,9.436118,1980.0,14.126267,12.031075,5.2791996,7.9912987,812.0,18.401066,16.620296,5.82414,9.55239
