train_regime,test_regime,variant,rmse,mae,r2,cc,n_train,n_test,n_embargoed
2010,2011,control,84.73377247762518,65.86761358949147,0.11853935820983252,0.35567286312035634,3696,8760,1440
2010,2011,treatment,85.38490428122012,64.98100129915699,0.10494024011973291,0.3649696127128845,3696,8760,1440
2010,2012,control,86.28634366613475,68.30283163240915,0.01466711383780217,0.18641910951387075,5136,8784,0
2010,2012,treatment,84.62782516302484,65.1371583851743,0.05218144721251505,0.34951425777432243,5136,8784,0
2010,2013,control,87.5953693160222,72.86779293882181,-0.0007037260301014925,0.3883574192491454,5136,8647,0
2010,2013,treatment,85.7860007143173,69.81222635116745,0.04021034556619418,0.4162564801682581,5136,8647,0
2010,2014,control,79.45276217945934,62.40087566288639,-0.03377254219031123,0.013084065620672653,5136,8760,0
2010,2014,treatment,77.5964246464461,60.38947531643524,0.013969350289283589,0.1902517789988151,5136,8760,0
2010,2015,control,89.97173909792083,71.75084237921727,0.09130535587305977,0.31635596154485013,5136,8760,0
2010,2015,treatment,88.33958032826493,69.38079824578273,0.12397519939594204,0.3847608822880364,5136,8760,0
2010,2016,control,82.6020441644481,65.19360233439066,0.33266549075711704,0.5824797551189419,5136,8629,0
2010,2016,treatment,81.44179630336386,63.455875822450324,0.3512809047165525,0.6035491674299044,5136,8629,0
2010,2017,control,83.35617128306787,67.789602685519,0.4218808886170463,0.6742086389203751,5136,8760,0
2010,2017,treatment,81.35685589460928,64.09541227088127,0.44928092044666035,0.6721068716462721,5136,8760,0
2010,2018,control,69.66448751956207,58.017803425549374,0.28364574181818103,0.6286042862679536,5136,8760,0
2010,2018,treatment,65.29993486584092,51.124281439933604,0.3705946216015906,0.6166623735211043,5136,8760,0
2010,2019,control,63.488265302566326,52.89158970732667,0.32911813617214514,0.6937271485828157,5136,8760,0
2010,2019,treatment,55.9151361569547,43.867772054454505,0.4796232274389496,0.7038132833699736,5136,8760,0
2010,2020,control,86.09961942463265,74.0604782973048,-0.3009655027750626,-0.12284797559755992,5136,8784,0
2010,2020,treatment,79.76476290406005,67.3976882072963,-0.11656876405763628,0.4667131312994753,5136,8784,0
2011,2010,control,92.50306361049053,78.09916342975937,0.09441940348004918,0.5748192932276999,7320,5136,1440
2011,2010,treatment,94.13105331161253,79.86220337223041,0.0622637333289604,0.5047306051488811,7320,5136,1440
2011,2012,control,81.2181815264721,62.89104960568398,0.1270178414974279,0.3654869047962636,7320,8784,1440
2011,2012,treatment,81.78619416059658,63.429622153332545,0.11476445581062988,0.35010974747175927,7320,8784,1440
2011,2013,control,81.94659638572124,67.52341310217213,0.12419975787926818,0.47746431380458054,8760,8647,0
2011,2013,treatment,82.12863118738133,67.67442334306244,0.12030446012017637,0.48092118452295296,8760,8647,0
2011,2014,control,78.17724963069102,60.562432154128544,-0.0008471742893239043,0.18117183368389372,8760,8760,0
2011,2014,treatment,77.97981033898346,60.823340662429324,0.004201788858013034,0.1867902771841948,8760,8760,0
2011,2015,control,88.89302698388369,70.64436968102302,0.11296424074185552,0.36726605293302894,8760,8760,0
2011,2015,treatment,88.54914180639895,70.89054111149757,0.11981401141392811,0.3682811125844827,8760,8760,0
2011,2016,control,89.69387918738717,71.06018701584954,0.21315786467018238,0.4705414970840572,8760,8629,0
2011,2016,treatment,88.43044933243264,69.9543041795551,0.23516869210699665,0.4987628194096774,8760,8629,0
2011,2017,control,102.55867397110444,79.23869069068944,0.12484172475909172,0.451861841353704,8760,8760,0
2011,2017,treatment,100.44858465442762,77.52379571226633,0.16048308045050586,0.49183999870532924,8760,8760,0
2011,2018,control,68.39484518563938,54.928606885100066,0.30951905933840973,0.562492851329198,8760,8760,0
2011,2018,treatment,67.6201149348634,53.709626992979004,0.32507306118618184,0.5702214436686684,8760,8760,0
2011,2019,control,68.12518743546691,53.07859582770361,0.2275425785559837,0.4901225380374045,8760,8760,0
2011,2019,treatment,65.8689938288686,50.63726558249835,0.2778603540800213,0.5442455434994506,8760,8760,0
2011,2020,control,79.87819305402326,67.42308414438384,-0.11974667398693417,0.2110572686627939,8760,8784,0
2011,2020,treatment,79.25944888800251,67.59178490282625,-0.10246653016742124,0.4452913135698949,8760,8784,0
2012,2010,control,82.99158937655135,67.64783579983815,0.27107467446955325,0.5279279277768538,8784,5136,0
2012,2010,treatment,83.95481927699795,68.42400168778369,0.2540561496589602,0.5099032826869634,8784,5136,0
2012,2011,control,87.34415556378225,68.64137398706724,0.06339269294003935,0.2543675372307669,7344,8760,1440
2012,2011,treatment,86.88622464248778,68.4452021907998,0.07318790166753719,0.2904646660218948,7344,8760,1440
2012,2013,control,85.1088506842369,68.64133041944754,0.05530270368111967,0.33792892678561653,7344,8647,1440
2012,2013,treatment,85.29590749458701,68.6321933323267,0.05114552718977816,0.3009363129163174,7344,8647,1440
2012,2014,control,75.05601268612818,56.90326710182782,0.07747536859582704,0.29088344993449955,8784,8760,0
2012,2014,treatment,74.25412435509065,55.83601267566419,0.09708232487555746,0.3272207511039205,8784,8760,0
2012,2015,control,89.41047387294844,69.60244677121237,0.10260730245412242,0.38737252979115244,8784,8760,0
2012,2015,treatment,88.53170277104662,69.26027393428159,0.12016066825936755,0.4159403969569311,8784,8760,0
2012,2016,control,86.04593690049334,67.6452984652385,0.2758596807953657,0.5426133921230127,8784,8629,0
2012,2016,treatment,87.18892344910199,69.02734912921385,0.2564937487598574,0.509441387348906,8784,8629,0
2012,2017,control,93.81937860108603,74.31891745998435,0.2676361249246283,0.5319021139277058,8784,8760,0
2012,2017,treatment,93.46759686942326,73.80232511546514,0.2731179183832747,0.5269839425937115,8784,8760,0
2012,2018,control,71.89846179704567,58.36529380763503,0.2369655401164119,0.4955909764616851,8784,8760,0
2012,2018,treatment,71.9160946299267,58.68620546941888,0.23659123144260874,0.5004781455915541,8784,8760,0
2012,2019,control,65.00147477217796,50.84978070193774,0.296756786160142,0.5795672102730723,8784,8760,0
2012,2019,treatment,65.42866599833063,52.30332378579057,0.2874829500410092,0.5619109728237776,8784,8760,0
2012,2020,control,82.06649249944063,69.21497320651139,-0.1819389954306163,-0.2819071083249366,8784,8784,0
2012,2020,treatment,80.20651552472633,67.31055408748773,-0.1289705567441961,0.18600211880571715,8784,8784,0
2013,2010,control,81.76338922342731,63.422469540177104,0.29248989593421104,0.6186458378322955,8647,5136,0
2013,2010,treatment,82.48537598945124,63.68216370793518,0.279939823682232,0.5937724291785104,8647,5136,0
2013,2011,control,80.64470050492491,60.21549140895338,0.20156143118238534,0.5329627371624824,8647,8760,0
2013,2011,treatment,80.61585959911785,60.13796491927752,0.20213241907677926,0.5459181850299141,8647,8760,0
2013,2012,control,78.26267012929226,58.36431279903336,0.18939707439272502,0.4695555072284745,7207,8784,1440
2013,2012,treatment,78.38274146139982,59.55974865828273,0.18690789697607957,0.439849725772727,7207,8784,1440
2013,2014,control,75.02663257994799,56.035159712839345,0.07819745776236642,0.31540054811852347,7207,8760,1440
2013,2014,treatment,75.18866243525976,55.63844933357413,0.0742116514385257,0.30180191271940926,7207,8760,1440
2013,2015,control,92.51393244131796,68.70021697440649,0.039228700340291134,0.4453791451935539,8647,8760,0
2013,2015,treatment,92.4788462750972,69.24514649970347,0.03995731252585977,0.4526856662872056,8647,8760,0
2013,2016,control,85.40460062248447,64.00557356580327,0.2866140923382716,0.5953092357132491,8647,8629,0
2013,2016,treatment,86.51790567774111,65.31152758243007,0.2678939602614847,0.5937409876753572,8647,8629,0
2013,2017,control,98.83862059662886,73.91466562279828,0.1871785403445737,0.5964798074468165,8647,8760,0
2013,2017,treatment,102.78846548146731,77.23024055097746,0.12091559682863695,0.583383271407629,8647,8760,0
2013,2018,control,65.40766578392072,50.19106592674778,0.36851614013176637,0.6311006314877136,8647,8760,0
2013,2018,treatment,67.81493078613148,50.66118676172544,0.32117848411406746,0.6202925305316068,8647,8760,0
2013,2019,control,66.09569490696016,48.13236065172169,0.27288102931715086,0.6066694324006479,8647,8760,0
2013,2019,treatment,67.37822193801259,48.65069149487639,0.24438908662560044,0.5849512099839959,8647,8760,0
2013,2020,control,69.29367579567048,51.94314617233415,0.1573436134343359,0.5580666795445803,8647,8784,0
2013,2020,treatment,69.19286707805296,52.85276700976985,0.1597936297756295,0.5672098882266448,8647,8784,0
2014,2010,control,84.29332685408426,65.62183348634905,0.24802870047524916,0.5052888135483601,8760,5136,0
2014,2010,treatment,86.15882208504031,68.73081781262549,0.21437665247255233,0.4647727397032545,8760,5136,0
2014,2011,control,89.0967426446333,66.98426998957108,0.025428977740531655,0.31052807258800785,8760,8760,0
2014,2011,treatment,91.35568242812411,68.50818007656429,-0.024615621723663716,0.3312577021018678,8760,8760,0
2014,2012,control,83.01349854802213,62.857440180682964,0.0879969731868826,0.41422814095646576,8760,8784,0
2014,2012,treatment,85.40139097548749,64.30144390599541,0.034774618100936516,0.3631154755096744,8760,8784,0
2014,2013,control,86.93693470649707,66.491078025277,0.014283860154294947,0.14136704190128205,7320,8647,1440
2014,2013,treatment,86.67408579466779,65.83689019759156,0.020235363665198403,0.15095307209326275,7320,8647,1440
2014,2015,control,92.7422711946363,72.47823546596858,0.03448018195873326,0.31930665555041227,7320,8760,1440
2014,2015,treatment,93.21607471688809,74.90639084071329,0.024589648935213537,0.31038014103959694,7320,8760,1440
2014,2016,control,91.65794255312413,73.04057269041667,0.17832097192799068,0.44392179500288187,8760,8629,0
2014,2016,treatment,96.30337467566949,77.62102123140694,0.09292122331514874,0.31207221631498816,8760,8629,0
2014,2017,control,104.98997158323102,85.52288503429116,0.08285617571924542,0.3825898195380418,8760,8760,0
2014,2017,treatment,107.6943028021257,89.48965424489758,0.03500010127627129,0.20395440786314561,8760,8760,0
2014,2018,control,76.0103445404554,61.23806553670805,0.14719378680543227,0.5292114888888639,8760,8760,0
2014,2018,treatment,78.11952188719981,62.85255073303502,0.09920885810624336,0.4756837928050716,8760,8760,0
2014,2019,control,73.21323788685649,59.114346236834244,0.1078490177576038,0.5451413189270081,8760,8760,0
2014,2019,treatment,74.41330912202376,59.23288331750321,0.07836201587262714,0.48611892420695146,8760,8760,0
2014,2020,control,76.74523621808561,62.37386265739066,-0.033632536284243786,0.01935580720860206,8760,8784,0
2014,2020,treatment,78.2799827979787,64.67099591725945,-0.0753869456631,-0.0370161196640238,8760,8784,0
2015,2010,control,77.51505585795194,62.63282700416826,0.36410266573313943,0.6140525183546701,8760,5136,0
2015,2010,treatment,79.15265983483015,64.56943495919771,0.3369505753107713,0.5993570636301864,8760,5136,0
2015,2011,control,83.48462269171621,67.30284490715968,0.14433687145082863,0.3858224308434834,8760,8760,0
2015,2011,treatment,83.26904308266268,67.86147013625053,0.1487502675885931,0.4018587110994571,8760,8760,0
2015,2012,control,77.89541851316058,60.469824118692365,0.19698681695731446,0.4440527203837724,8760,8784,0
2015,2012,treatment,78.18131609971931,60.03317253446318,0.1910814416381208,0.4436288701445452,8760,8784,0
2015,2013,control,82.12615099163578,64.9988707049094,0.12035759102372579,0.37874460288885686,8760,8647,0
2015,2013,treatment,81.76630064573432,64.31165597562061,0.12804932219525222,0.3925945630871683,8760,8647,0
2015,2014,control,78.11292001363826,61.18954839140313,0.0007992797856281042,0.20481039154084077,7320,8760,1440
2015,2014,treatment,77.21282211839006,60.20295700700316,0.023694254915611945,0.23658649073011057,7320,8760,1440
2015,2016,control,89.51326545234427,71.71376455096798,0.21632355250747082,0.4791950207935013,7320,8629,1440
2015,2016,treatment,93.12921118964415,75.656902967951,0.15173051826782102,0.4037419659676761,7320,8629,1440
2015,2017,control,96.30185259842104,81.69673562942575,0.2283664653961145,0.5453692136728009,8760,8760,0
2015,2017,treatment,95.99495706893214,81.8863621576736,0.2332767249678377,0.5672605336795716,8760,8760,0
2015,2018,control,84.48433429785968,72.37398808100453,-0.05355527594775378,0.36812599053538875,8760,8760,0
2015,2018,treatment,84.26311405532843,72.40327412853502,-0.04804508013728159,0.425589517753136,8760,8760,0
2015,2019,control,81.00023979974996,69.50655249330006,-0.09202288281792947,0.5219328813081624,8760,8760,0
2015,2019,treatment,81.73159516664438,70.32727334706206,-0.1118317711600949,0.5287140419674977,8760,8760,0
2015,2020,control,89.11136558224028,78.88287967410895,-0.3935723316983444,0.4731015907179094,8760,8784,0
2015,2020,treatment,88.54646804960252,78.75278956512284,-0.3759599796886848,0.5303071710451093,8760,8784,0
2016,2010,control,80.45090467719001,65.45967411623566,0.3150218156301111,0.6064867656709422,8629,5136,0
2016,2010,treatment,77.81638154747569,62.98283296507839,0.3591491859376744,0.6231892139211432,8629,5136,0
2016,2011,control,83.46063339820655,67.9493562149675,0.14482855013594775,0.40526123582565876,8629,8760,0
2016,2011,treatment,84.49511897790104,68.33512099453303,0.12349765087699682,0.3729920245256148,8629,8760,0
2016,2012,control,89.2274943478571,73.2587919600023,-0.05364968107957924,0.42352514068321684,8629,8784,0
2016,2012,treatment,90.88229228991105,75.12586752052516,-0.09309369732330897,0.4159343758204925,8629,8784,0
2016,2013,control,98.19954388074065,82.97350497536402,-0.2576568538947883,0.28322461532749577,8629,8647,0
2016,2013,treatment,99.14563138662616,84.47941423303422,-0.2820069702689987,0.1199726552007738,8629,8647,0
2016,2014,control,86.35998784389585,71.07095532351977,-0.22132750477387853,0.11549264275379739,8629,8760,0
2016,2014,treatment,89.11301862119434,74.14125544578518,-0.30043695681441807,0.04679193255571202,8629,8760,0
2016,2015,control,89.97110617488136,72.74188394415869,0.09131814059321608,0.3044951206124774,7189,8760,1440
2016,2015,treatment,89.58013794719898,72.39347941080729,0.09919831123776668,0.3176549661297424,7189,8760,1440
2016,2017,control,82.69885354277929,65.15390351177895,0.4309626311421786,0.6602319710053934,7189,8760,1440
2016,2017,treatment,83.26377010418418,66.77052194255673,0.4231618802679413,0.6585616520209602,7189,8760,1440
2016,2018,control,75.37031195796185,63.06693695625758,0.1614951495147111,0.5685977426905905,8629,8760,0
2016,2018,treatment,72.8909635521407,59.68286728880721,0.21575395708045342,0.5775844352978725,8629,8760,0
2016,2019,control,64.06752131597266,51.82750612023759,0.3168202676388885,0.5986574043519127,8629,8760,0
2016,2019,treatment,60.86835827258934,47.979569453409276,0.3833449305521537,0.6241689201566054,8629,8760,0
2016,2020,control,91.21214355480939,79.98121713940563,-0.4600530682417059,0.29274085477603345,8629,8784,0
2016,2020,treatment,90.68769505573587,79.53520642473399,-0.44331140978754013,0.4497526482540798,8629,8784,0
2017,2010,control,82.8818873718841,67.71389732479678,0.27300045320657296,0.5407184303636826,8760,5136,0
2017,2010,treatment,83.65343265649653,69.80788395486516,0.25940221473622904,0.5531510881124639,8760,5136,0
2017,2011,control,83.7899507755059,64.9533907537591,0.13806659738053828,0.37575544725231197,8760,8760,0
2017,2011,treatment,83.9021064271993,65.91895905934513,0.13575759970059897,0.3722079761766948,8760,8760,0
2017,2012,control,81.23750289148839,63.15072436932006,0.1266024366477101,0.3635221831186654,8760,8784,0
2017,2012,treatment,81.6066559970384,63.79337670373135,0.11864675205857667,0.3602862230928786,8760,8784,0
2017,2013,control,82.96305424490147,66.60807961051114,0.10233832264686771,0.3921891644094127,8760,8647,0
2017,2013,treatment,83.39808669984731,67.83566094305083,0.09289952296871562,0.41467191928126357,8760,8647,0
2017,2014,control,76.2177632803631,58.88014130265746,0.0486958487831336,0.22571773334451592,8760,8760,0
2017,2014,treatment,77.81588112458019,61.349198990216536,0.008384123636315244,0.1801599624647648,8760,8760,0
2017,2015,control,86.5160374396185,68.62407972431619,0.1597684639125181,0.41171309160813635,8760,8760,0
2017,2015,treatment,88.2132419074317,70.17724105625936,0.12647909285864534,0.3611018860532649,8760,8760,0
2017,2016,control,77.89604223731818,61.271357388772145,0.40653818746001236,0.6390947698809806,7320,8629,1440
2017,2016,treatment,78.60197281933375,62.1410438713545,0.3957329871131874,0.6375455135614794,7320,8629,1440
2017,2018,control,70.84655393940542,55.79591288457723,0.25912930863245975,0.5444275902892703,7320,8760,1440
2017,2018,treatment,70.31463735149678,55.31100936262575,0.2702124737252124,0.558431382122184,7320,8760,1440
2017,2019,control,54.535828311574434,42.01645106485445,0.5049797590669121,0.7208521950135601,8760,8760,0
2017,2019,treatment,54.410823660087885,42.30408386160794,0.5072464859318344,0.7226960139119711,8760,8760,0
2017,2020,control,97.78131571445331,87.32503454281333,-0.6779347581379886,0.41296142345337694,8760,8784,0
2017,2020,treatment,96.33114977892214,85.72829994521288,-0.6285339057923622,0.40244181052167305,8760,8784,0
2018,2010,control,75.83978214464048,56.412629992048316,0.3912919722878795,0.6719488594257585,8760,5136,0
2018,2010,treatment,77.01162762187421,56.912419256762924,0.37233562430107703,0.6535888082454823,8760,5136,0
2018,2011,control,81.36645396116774,61.75303427987991,0.1872057557852591,0.5282809890865862,8760,8760,0
2018,2011,treatment,81.97862025117982,61.87719521718483,0.17492951794045708,0.5115791482198581,8760,8760,0
2018,2012,control,79.77772063220793,59.6103550853625,0.15770913127228148,0.4782981426581498,8760,8784,0
2018,2012,treatment,80.39536269581276,60.54460769403176,0.14461655097145687,0.4628511292742082,8760,8784,0
2018,2013,control,78.97803634347106,61.858663111404695,0.18650313454860445,0.4323797915162786,8760,8647,0
2018,2013,treatment,79.5262705623773,62.12797113874957,0.17516999001427092,0.42254384139842277,8760,8647,0
2018,2014,control,76.84550283892916,58.68969639817329,0.03296118503155132,0.18952208354238118,8760,8760,0
2018,2014,treatment,76.41512102710104,58.27047105554032,0.043762869609777155,0.2367089223362766,8760,8760,0
2018,2015,control,90.06006852015793,69.2688855314908,0.0895202648347938,0.43975997852576126,8760,8760,0
2018,2015,treatment,89.51509997634105,68.63510329364097,0.1005058565838669,0.4451644908737051,8760,8760,0
2018,2016,control,80.24537658125654,61.125091775542046,0.37020090438974773,0.626949569070645,8760,8629,0
2018,2016,treatment,80.48099461383664,61.428279051348014,0.3664970179870578,0.6229034156002168,8760,8629,0
2018,2017,control,82.57546800917287,61.49898298080653,0.4326593560541452,0.6732562995120249,7320,8760,1440
2018,2017,treatment,83.96543888700309,62.46203208122079,0.41339881707341675,0.6543270665262294,7320,8760,1440
2018,2019,control,56.98889393548941,42.65023799530447,0.45944537707953625,0.717902887726317,7320,8760,1440
2018,2019,treatment,57.795279616443636,43.25481638102771,0.4440395879622241,0.6982900158783033,7320,8760,1440
2018,2020,control,66.21865171201138,53.43854695721402,0.23047278325418463,0.5949165422047688,8760,8784,0
2018,2020,treatment,63.719114426692855,51.389473909888764,0.2874706147048882,0.6532640329086755,8760,8784,0
2019,2010,control,73.80139349175585,57.29472181730181,0.42357341830705986,0.65185266274167,8760,5136,0
2019,2010,treatment,73.77483479446212,56.95755468350705,0.42398821764194794,0.6515811359480637,8760,5136,0
2019,2011,control,78.98928474805926,60.94804900356624,0.2340045264111581,0.4974758456155562,8760,8760,0
2019,2011,treatment,80.10703019134165,62.05735099478944,0.2121725592589725,0.4782642504675092,8760,8760,0
2019,2012,control,78.24970241187889,59.157557913080154,0.18966567751581986,0.44525101661992017,8760,8784,0
2019,2012,treatment,79.52230308003541,60.375191294213245,0.16309387977302492,0.4149715931346572,8760,8784,0
2019,2013,control,80.6044676536606,62.662658176133164,0.15265270201928938,0.3913905774039232,8760,8647,0
2019,2013,treatment,79.65657980956846,62.050973531564864,0.1724646943675482,0.4262742928191873,8760,8647,0
2019,2014,control,75.71659473090331,55.8841544234045,0.06116528439536906,0.3203492768753062,8760,8760,0
2019,2014,treatment,75.90519482496818,56.33167063046808,0.05648243149414611,0.31574415100258824,8760,8760,0
2019,2015,control,88.67393054239419,68.97967322710987,0.11733144208910884,0.4198650086779613,8760,8760,0
2019,2015,treatment,88.24718310310303,68.52752123619324,0.1258067664100384,0.42306692376339927,8760,8760,0
2019,2016,control,81.58316639342068,62.5305445979763,0.3490268023350058,0.5948375702010572,8760,8629,0
2019,2016,treatment,81.73761395520252,62.23671850526522,0.3465597151544021,0.5924617659217724,8760,8629,0
2019,2017,control,80.81804585982385,60.80015388035883,0.4565513677098537,0.6791748631688772,8760,8760,0
2019,2017,treatment,79.98901533088367,59.6372452653162,0.46764356150003383,0.6864151198917017,8760,8760,0
2019,2018,control,63.423200325312365,49.89040316925745,0.40625323156373727,0.6475097056451515,7320,8760,1440
2019,2018,treatment,63.05875389444359,48.50617938803755,0.4130572772656611,0.6500376871899307,7320,8760,1440
2019,2020,control,79.25632560335377,66.82795873061772,-0.10237964465422755,0.3385255120748717,7320,8784,1440
2019,2020,treatment,78.49908315499209,65.58290602470356,-0.0814152403614512,0.48116778938626653,7320,8784,1440
2020,2010,control,87.42721849194194,72.73167870423504,0.19107510970879527,0.5733845534553366,8784,5136,0
2020,2010,treatment,90.9614190803509,76.01277713835054,0.12435246393084698,0.4997751056612363,8784,5136,0
2020,2011,control,81.85040185269051,66.9740625041805,0.17750839730886936,0.49078141465702063,8784,8760,0
2020,2011,treatment,83.15406909442817,68.96641545056208,0.1510993760893593,0.50055888242055,8784,8760,0
2020,2012,control,80.88363671011422,62.9489564461352,0.13419480993537058,0.48252923565934897,8784,8784,0
2020,2012,treatment,82.13703268868531,65.03129229866958,0.10715336997143143,0.4372838429665099,8784,8784,0
2020,2013,control,84.70747231001386,67.93588673642458,0.06419218912763369,0.3339921224957847,8784,8647,0
2020,2013,treatment,84.75065873188541,67.79735893319214,0.06323773984483005,0.33241922238659244,8784,8647,0
2020,2014,control,75.95421037274507,58.204285187046274,0.05526349088004279,0.27637759976079573,8784,8760,0
2020,2014,treatment,77.17613260547111,59.63856748467711,0.02462186436849534,0.19603929953557642,8784,8760,0
2020,2015,control,87.00256617873035,70.10899345363111,0.15029169521091446,0.3892268364767975,8784,8760,0
2020,2015,treatment,87.89941007915719,70.6118329261536,0.13268339989277234,0.36438561720084156,8784,8760,0
2020,2016,control,87.83212310752637,70.61018137633974,0.2454834760698248,0.5159988962084378,8784,8629,0
2020,2016,treatment,87.79826328069909,70.7899772492852,0.24606510551284932,0.5114172734245243,8784,8629,0
2020,2017,control,90.65579916383517,74.38343575185837,0.3161938678148625,0.5893281185904456,8784,8760,0
2020,2017,treatment,87.86670364645471,71.80284171605219,0.3576222681386859,0.6175464213356943,8784,8760,0
2020,2018,control,70.44342108806518,56.799326470780045,0.2675367624854941,0.5321087940723361,8784,8760,0
2020,2018,treatment,70.78714343512056,56.658613157925544,0.2603713463513797,0.5248536952940559,8784,8760,0
2020,2019,control,62.30662195984885,47.34702624665003,0.35385863959553043,0.6002552535869317,7344,8760,1440
2020,2019,treatment,59.6270820105599,45.40501630600185,0.40823913160368963,0.6420877526972857,7344,8760,1440
